, ,Number of genomes
0,Cluster 0,11
1,Cluster 1,1
2,Cluster 2,8
3,Cluster 3,1
4,Cluster 4,5
5,Cluster 5,57
6,Cluster 6,1
7,Cluster 7,21
8,Cluster 8,18
9,Cluster 9,3
10,Cluster 10,2
11,Cluster 11,9
12,Cluster 12,2
13,Cluster 13,1
14,Cluster 14,2
15,Cluster 15,2
16,Cluster 16,5
17,Cluster 17,7
18,Cluster 18,11
19,Cluster 19,5
20,Cluster 20,5
21,Cluster 21,2
22,Cluster 22,3
23,Cluster 23,1
24,Cluster 24,1
25,Cluster 25,8
26,Cluster 26,52
27,Cluster 27,7
28,Cluster 28,6
29,Cluster 29,1
30,Cluster 30,2
31,Cluster 31,2
32,Cluster 32,9
33,Cluster 33,1
34,Cluster 34,23
35,Cluster 35,5
36,Cluster 36,53
37,Cluster 37,1
38,Cluster 38,2
39,Cluster 39,2
40,Cluster 40,1
41,Cluster 41,1
42,Cluster 42,2
43,Cluster 43,2
44,Cluster 44,1
45,Cluster 45,1
46,Cluster 46,62
47,Cluster 47,9
48,Cluster 48,7
49,Cluster 49,2
50,Cluster 50,1
51,Cluster 51,1
52,Cluster 52,4
53,Cluster 53,4
54,Cluster 54,5
55,Cluster 55,2
56,Cluster 56,6
57,Cluster 57,1
58,Cluster 58,1
59,Cluster 59,38
60,Cluster 60,59
61,Cluster 61,5
62,Cluster 62,40
63,Cluster 63,2
64,Cluster 64,22
65,Cluster 65,1
66,Cluster 66,63
67,Cluster 67,1
68,Cluster 68,1
69,Cluster 69,20
70,Cluster 70,1
71,Cluster 71,3
72,Cluster 72,63
73,Cluster 73,1
74,Cluster 74,2
75,Cluster 75,4
76,Cluster 76,1
77,Cluster 77,1
78,Cluster 78,5
79,Cluster 79,18
80,Cluster 80,2
81,Cluster 81,1
82,Cluster 82,22
83,Cluster 83,7
84,Cluster 84,60
85,Cluster 85,4
86,Cluster 86,2
87,Cluster 87,4
88,Cluster 88,63
89,Cluster 89,65
90,Cluster 90,5
91,Cluster 91,1
92,Cluster 92,31
93,Cluster 93,2
94,Cluster 94,9
95,Cluster 95,9
96,Cluster 96,63
97,Cluster 97,23
98,Cluster 98,2
99,Cluster 99,63
100,Cluster 100,3
101,Cluster 101,1
102,Cluster 102,1
103,Cluster 103,2
104,Cluster 104,18
105,Cluster 105,63
106,Cluster 106,1
107,Cluster 107,1
108,Cluster 108,6
109,Cluster 109,63
110,Cluster 110,24
111,Cluster 111,63
112,Cluster 112,2
113,Cluster 113,18
114,Cluster 114,1
115,Cluster 115,4
116,Cluster 116,1
117,Cluster 117,1
118,Cluster 118,63
119,Cluster 119,35
120,Cluster 120,1
121,Cluster 121,36
122,Cluster 122,4
123,Cluster 123,26
124,Cluster 124,63
125,Cluster 125,14
126,Cluster 126,2
127,Cluster 127,21
128,Cluster 128,31
129,Cluster 129,7
130,Cluster 130,63
131,Cluster 131,63
132,Cluster 132,3
133,Cluster 133,5
134,Cluster 134,59
135,Cluster 135,2
136,Cluster 136,63
137,Cluster 137,5
138,Cluster 138,10
139,Cluster 139,1
140,Cluster 140,2
141,Cluster 141,52
142,Cluster 142,5
143,Cluster 143,5
144,Cluster 144,1
145,Cluster 145,1
146,Cluster 146,5
147,Cluster 147,37
148,Cluster 148,2
149,Cluster 149,63
150,Cluster 150,11
151,Cluster 151,63
152,Cluster 152,22
153,Cluster 153,1
154,Cluster 154,63
155,Cluster 155,1
156,Cluster 156,20
157,Cluster 157,1
158,Cluster 158,15
159,Cluster 159,6
160,Cluster 160,63
161,Cluster 161,50
162,Cluster 162,13
163,Cluster 163,2
164,Cluster 164,5
165,Cluster 165,1
166,Cluster 166,1
167,Cluster 167,8
168,Cluster 168,1
169,Cluster 169,8
170,Cluster 170,6
171,Cluster 171,1
172,Cluster 172,1
173,Cluster 173,1
174,Cluster 174,16
175,Cluster 175,3
176,Cluster 176,1
177,Cluster 177,63
178,Cluster 178,63
179,Cluster 179,1
180,Cluster 180,7
181,Cluster 181,63
182,Cluster 182,3
183,Cluster 183,61
184,Cluster 184,2
185,Cluster 185,1
186,Cluster 186,3
187,Cluster 187,60
188,Cluster 188,1
189,Cluster 189,17
190,Cluster 190,1
191,Cluster 191,19
192,Cluster 192,2
193,Cluster 193,23
194,Cluster 194,2
195,Cluster 195,2
196,Cluster 196,8
197,Cluster 197,63
198,Cluster 198,1
199,Cluster 199,21
200,Cluster 200,8
