, ,Number of genomes,gene_class
0,Cluster 0,11,unique
1,Cluster 1,1,unique
2,Cluster 2,8,unique
3,Cluster 3,1,unique
4,Cluster 4,5,unique
5,Cluster 5,57,accessory
6,Cluster 6,1,unique
7,Cluster 7,21,accessory
8,Cluster 8,18,accessory
9,Cluster 9,3,unique
10,Cluster 10,2,unique
11,Cluster 11,9,unique
12,Cluster 12,2,unique
13,Cluster 13,1,unique
14,Cluster 14,2,unique
15,Cluster 15,2,unique
16,Cluster 16,5,unique
17,Cluster 17,7,unique
18,Cluster 18,11,unique
19,Cluster 19,5,unique
20,Cluster 20,5,unique
21,Cluster 21,2,unique
22,Cluster 22,3,unique
23,Cluster 23,1,unique
24,Cluster 24,1,unique
25,Cluster 25,8,unique
26,Cluster 26,52,accessory
27,Cluster 27,7,unique
28,Cluster 28,6,unique
29,Cluster 29,1,unique
30,Cluster 30,2,unique
31,Cluster 31,2,unique
32,Cluster 32,9,unique
33,Cluster 33,1,unique
34,Cluster 34,23,accessory
35,Cluster 35,5,unique
36,Cluster 36,53,accessory
37,Cluster 37,1,unique
38,Cluster 38,2,unique
39,Cluster 39,2,unique
40,Cluster 40,1,unique
41,Cluster 41,1,unique
42,Cluster 42,2,unique
43,Cluster 43,2,unique
44,Cluster 44,1,unique
45,Cluster 45,1,unique
46,Cluster 46,62,accessory
47,Cluster 47,9,unique
48,Cluster 48,7,unique
49,Cluster 49,2,unique
50,Cluster 50,1,unique
51,Cluster 51,1,unique
52,Cluster 52,4,unique
53,Cluster 53,4,unique
54,Cluster 54,5,unique
55,Cluster 55,2,unique
56,Cluster 56,6,unique
57,Cluster 57,1,unique
58,Cluster 58,1,unique
59,Cluster 59,38,accessory
60,Cluster 60,59,accessory
61,Cluster 61,5,unique
62,Cluster 62,40,accessory
63,Cluster 63,2,unique
64,Cluster 64,22,accessory
65,Cluster 65,1,unique
66,Cluster 66,63,accessory
67,Cluster 67,1,unique
68,Cluster 68,1,unique
69,Cluster 69,20,accessory
70,Cluster 70,1,unique
71,Cluster 71,3,unique
72,Cluster 72,63,accessory
73,Cluster 73,1,unique
74,Cluster 74,2,unique
75,Cluster 75,4,unique
76,Cluster 76,1,unique
77,Cluster 77,1,unique
78,Cluster 78,5,unique
79,Cluster 79,18,accessory
80,Cluster 80,2,unique
81,Cluster 81,1,unique
82,Cluster 82,22,accessory
83,Cluster 83,7,unique
84,Cluster 84,60,accessory
85,Cluster 85,4,unique
86,Cluster 86,2,unique
87,Cluster 87,4,unique
88,Cluster 88,63,accessory
89,Cluster 89,65,accessory
90,Cluster 90,5,unique
91,Cluster 91,1,unique
92,Cluster 92,31,accessory
93,Cluster 93,2,unique
94,Cluster 94,9,unique
95,Cluster 95,9,unique
96,Cluster 96,63,accessory
97,Cluster 97,23,accessory
98,Cluster 98,2,unique
99,Cluster 99,63,accessory
100,Cluster 100,3,unique
101,Cluster 101,1,unique
102,Cluster 102,1,unique
103,Cluster 103,2,unique
104,Cluster 104,18,accessory
105,Cluster 105,63,accessory
106,Cluster 106,1,unique
107,Cluster 107,1,unique
108,Cluster 108,6,unique
109,Cluster 109,63,accessory
110,Cluster 110,24,accessory
111,Cluster 111,63,accessory
112,Cluster 112,2,unique
113,Cluster 113,18,accessory
114,Cluster 114,1,unique
115,Cluster 115,4,unique
116,Cluster 116,1,unique
117,Cluster 117,1,unique
118,Cluster 118,63,accessory
119,Cluster 119,35,accessory
120,Cluster 120,1,unique
121,Cluster 121,36,accessory
122,Cluster 122,4,unique
123,Cluster 123,26,accessory
124,Cluster 124,63,accessory
125,Cluster 125,14,accessory
126,Cluster 126,2,unique
127,Cluster 127,21,accessory
128,Cluster 128,31,accessory
129,Cluster 129,7,unique
130,Cluster 130,63,accessory
131,Cluster 131,63,accessory
132,Cluster 132,3,unique
133,Cluster 133,5,unique
134,Cluster 134,59,accessory
135,Cluster 135,2,unique
136,Cluster 136,63,accessory
137,Cluster 137,5,unique
138,Cluster 138,10,unique
139,Cluster 139,1,unique
140,Cluster 140,2,unique
141,Cluster 141,52,accessory
142,Cluster 142,5,unique
143,Cluster 143,5,unique
144,Cluster 144,1,unique
145,Cluster 145,1,unique
146,Cluster 146,5,unique
147,Cluster 147,37,accessory
148,Cluster 148,2,unique
149,Cluster 149,63,accessory
150,Cluster 150,11,unique
151,Cluster 151,63,accessory
152,Cluster 152,22,accessory
153,Cluster 153,1,unique
154,Cluster 154,63,accessory
155,Cluster 155,1,unique
156,Cluster 156,20,accessory
157,Cluster 157,1,unique
158,Cluster 158,15,accessory
159,Cluster 159,6,unique
160,Cluster 160,63,accessory
161,Cluster 161,50,accessory
162,Cluster 162,13,unique
163,Cluster 163,2,unique
164,Cluster 164,5,unique
165,Cluster 165,1,unique
166,Cluster 166,1,unique
167,Cluster 167,8,unique
168,Cluster 168,1,unique
169,Cluster 169,8,unique
170,Cluster 170,6,unique
171,Cluster 171,1,unique
172,Cluster 172,1,unique
173,Cluster 173,1,unique
174,Cluster 174,16,accessory
175,Cluster 175,3,unique
176,Cluster 176,1,unique
177,Cluster 177,63,accessory
178,Cluster 178,63,accessory
179,Cluster 179,1,unique
180,Cluster 180,7,unique
181,Cluster 181,63,accessory
182,Cluster 182,3,unique
183,Cluster 183,61,accessory
184,Cluster 184,2,unique
185,Cluster 185,1,unique
186,Cluster 186,3,unique
187,Cluster 187,60,accessory
188,Cluster 188,1,unique
189,Cluster 189,17,accessory
190,Cluster 190,1,unique
191,Cluster 191,19,accessory
192,Cluster 192,2,unique
193,Cluster 193,23,accessory
194,Cluster 194,2,unique
195,Cluster 195,2,unique
196,Cluster 196,8,unique
197,Cluster 197,63,accessory
198,Cluster 198,1,unique
199,Cluster 199,21,accessory
200,Cluster 200,8,unique
201,Cluster 201,2,unique
202,Cluster 202,1,unique
203,Cluster 203,63,accessory
204,Cluster 204,2,unique
205,Cluster 205,1,unique
206,Cluster 206,63,accessory
207,Cluster 207,63,accessory
208,Cluster 208,6,unique
209,Cluster 209,63,accessory
210,Cluster 210,1,unique
211,Cluster 211,1,unique
212,Cluster 212,63,accessory
213,Cluster 213,38,accessory
214,Cluster 214,4,unique
215,Cluster 215,5,unique
216,Cluster 216,20,accessory
217,Cluster 217,63,accessory
218,Cluster 218,63,accessory
219,Cluster 219,1,unique
220,Cluster 220,36,accessory
221,Cluster 221,2,unique
222,Cluster 222,61,accessory
223,Cluster 223,4,unique
224,Cluster 224,56,accessory
225,Cluster 225,18,accessory
226,Cluster 226,3,unique
227,Cluster 227,63,accessory
228,Cluster 228,7,unique
229,Cluster 229,6,unique
230,Cluster 230,63,accessory
231,Cluster 231,1,unique
232,Cluster 232,58,accessory
233,Cluster 233,8,unique
234,Cluster 234,8,unique
235,Cluster 235,1,unique
236,Cluster 236,18,accessory
237,Cluster 237,1,unique
238,Cluster 238,1,unique
239,Cluster 239,1,unique
240,Cluster 240,63,accessory
241,Cluster 241,3,unique
242,Cluster 242,12,unique
243,Cluster 243,14,accessory
244,Cluster 244,6,unique
245,Cluster 245,1,unique
246,Cluster 246,2,unique
247,Cluster 247,1,unique
248,Cluster 248,1,unique
249,Cluster 249,5,unique
250,Cluster 250,1,unique
251,Cluster 251,18,accessory
252,Cluster 252,21,accessory
253,Cluster 253,5,unique
254,Cluster 254,1,unique
255,Cluster 255,9,unique
256,Cluster 256,3,unique
257,Cluster 257,7,unique
258,Cluster 258,40,accessory
259,Cluster 259,9,unique
260,Cluster 260,6,unique
261,Cluster 261,55,accessory
262,Cluster 262,2,unique
263,Cluster 263,4,unique
264,Cluster 264,5,unique
265,Cluster 265,5,unique
266,Cluster 266,1,unique
267,Cluster 267,2,unique
268,Cluster 268,2,unique
269,Cluster 269,2,unique
270,Cluster 270,1,unique
271,Cluster 271,1,unique
272,Cluster 272,63,accessory
273,Cluster 273,2,unique
274,Cluster 274,18,accessory
275,Cluster 275,3,unique
276,Cluster 276,63,accessory
277,Cluster 277,2,unique
278,Cluster 278,30,accessory
279,Cluster 279,2,unique
280,Cluster 280,1,unique
281,Cluster 281,63,accessory
282,Cluster 282,56,accessory
283,Cluster 283,3,unique
284,Cluster 284,5,unique
285,Cluster 285,2,unique
286,Cluster 286,1,unique
287,Cluster 287,63,accessory
288,Cluster 288,1,unique
289,Cluster 289,1,unique
290,Cluster 290,1,unique
291,Cluster 291,63,accessory
292,Cluster 292,5,unique
293,Cluster 293,29,accessory
294,Cluster 294,1,unique
295,Cluster 295,3,unique
296,Cluster 296,3,unique
297,Cluster 297,1,unique
298,Cluster 298,1,unique
299,Cluster 299,63,accessory
300,Cluster 300,1,unique
301,Cluster 301,1,unique
302,Cluster 302,1,unique
303,Cluster 303,57,accessory
304,Cluster 304,63,accessory
305,Cluster 305,19,accessory
306,Cluster 306,7,unique
307,Cluster 307,2,unique
308,Cluster 308,63,accessory
309,Cluster 309,1,unique
310,Cluster 310,1,unique
311,Cluster 311,1,unique
312,Cluster 312,63,accessory
313,Cluster 313,3,unique
314,Cluster 314,63,accessory
315,Cluster 315,37,accessory
316,Cluster 316,21,accessory
317,Cluster 317,1,unique
318,Cluster 318,2,unique
319,Cluster 319,1,unique
320,Cluster 320,1,unique
321,Cluster 321,7,unique
322,Cluster 322,61,accessory
323,Cluster 323,4,unique
324,Cluster 324,4,unique
325,Cluster 325,1,unique
326,Cluster 326,2,unique
327,Cluster 327,2,unique
328,Cluster 328,2,unique
329,Cluster 329,1,unique
330,Cluster 330,2,unique
331,Cluster 331,62,accessory
332,Cluster 332,25,accessory
333,Cluster 333,2,unique
334,Cluster 334,2,unique
335,Cluster 335,2,unique
336,Cluster 336,6,unique
337,Cluster 337,63,accessory
338,Cluster 338,5,unique
339,Cluster 339,1,unique
340,Cluster 340,63,accessory
341,Cluster 341,1,unique
342,Cluster 342,1,unique
343,Cluster 343,12,unique
344,Cluster 344,2,unique
345,Cluster 345,1,unique
346,Cluster 346,5,unique
347,Cluster 347,63,accessory
348,Cluster 348,62,accessory
349,Cluster 349,1,unique
350,Cluster 350,46,accessory
351,Cluster 351,20,accessory
352,Cluster 352,18,accessory
353,Cluster 353,63,accessory
354,Cluster 354,1,unique
355,Cluster 355,6,unique
356,Cluster 356,1,unique
357,Cluster 357,10,unique
358,Cluster 358,1,unique
359,Cluster 359,63,accessory
360,Cluster 360,13,unique
361,Cluster 361,2,unique
362,Cluster 362,1,unique
363,Cluster 363,7,unique
364,Cluster 364,63,accessory
365,Cluster 365,63,accessory
366,Cluster 366,63,accessory
367,Cluster 367,63,accessory
368,Cluster 368,63,accessory
